record_id,student_id,course_id,semester,year,grade,grade_points,status,credits_earned,created_at
1,196,36,Spring,2021,C,2.00,completed,4,2025-06-11T23:12:38.2600000
2,225,65,Spring,2022,C,2.00,completed,4,2025-02-09T23:12:38.2666667
3,126,41,Spring,2023,C+,2.70,completed,4,2024-10-09T23:12:38.2666667
4,136,38,Spring,2021,B,3.00,completed,4,2024-11-13T23:12:38.2666667
5,202,57,Spring,2021,B,3.00,completed,5,2024-11-04T23:12:38.2666667
6,104,12,Spring,2023,C,2.00,completed,4,2025-06-26T23:12:38.2700000
7,284,63,Fall,2024,C,2.00,completed,4,2025-02-12T23:12:38.2700000
8,129,34,Fall,2022,C,2.00,completed,4,2025-06-29T23:12:38.2700000
9,137,38,Spring,2024,C+,2.70,completed,4,2025-08-26T23:12:38.2700000
10,105,6,Fall,2021,C+,2.70,completed,4,2025-07-02T23:12:38.2700000
11,129,60,Fall,2023,C,2.00,completed,5,2025-09-04T23:12:38.2700000
12,106,17,Fall,2021,D,1.00,completed,0,2024-08-20T23:12:38.2700000
13,244,75,Spring,2024,F,0.00,completed,0,2025-10-13T23:12:38.2700000
14,189,41,Fall,2022,B,3.00,completed,4,2025-11-10T23:12:38.2700000
15,249,62,Fall,2021,B+,3.50,completed,4,2024-09-11T23:12:38.2733333
16,122,33,Fall,2023,D,1.00,completed,0,2024-11-03T23:12:38.2733333
17,1,17,Fall,2024,A,4.00,completed,3,2025-09-30T23:12:38.2733333
18,240,75,Spring,2021,C+,2.70,completed,4,2025-01-09T23:12:38.2733333
19,169,48,Spring,2021,B+,3.50,completed,4,2025-04-21T23:12:38.2733333
20,40,1,Fall,2021,B,3.00,completed,4,2025-07-16T23:12:38.2733333
21,48,24,Spring,2021,F,0.00,completed,0,2025-01-27T23:12:38.2733333
22,244,74,Spring,2021,C+,2.70,completed,4,2024-11-21T23:12:38.2766667
23,163,54,Fall,2024,C,2.00,completed,3,2025-10-21T23:12:38.2766667
24,21,9,Fall,2024,C+,2.70,completed,4,2025-10-15T23:12:38.2766667
25,191,54,Spring,2023,F,0.00,completed,0,2025-11-13T23:12:38.3400000
26,131,41,Fall,2021,C+,2.70,completed,4,2025-06-21T23:12:38.3400000
27,221,63,Fall,2022,C+,2.70,completed,4,2025-11-17T23:12:38.3400000
28,104,2,Spring,2024,C+,2.70,completed,4,2025-11-07T23:12:38.3433333
29,269,79,Fall,2023,C,2.00,completed,4,2024-07-28T23:12:38.3433333
30,183,38,Spring,2021,D,1.00,completed,0,2024-10-19T23:12:38.3433333
31,186,36,Fall,2022,C+,2.70,completed,4,2024-09-07T23:12:38.3466667
32,108,7,Fall,2021,D,1.00,completed,0,2025-08-25T23:12:38.3466667
33,272,78,Spring,2023,C+,2.70,completed,3,2025-01-20T23:12:38.3466667
34,243,73,Fall,2021,A,4.00,completed,3,2025-02-21T23:12:38.3466667
35,131,32,Spring,2022,C,2.00,completed,4,2025-10-24T23:12:38.3500000
36,259,82,Fall,2022,B+,3.50,completed,3,2024-09-10T23:12:38.3500000
37,52,13,Fall,2023,B,3.00,completed,3,2024-09-20T23:12:38.3500000
