course_id,course_code,course_name,credits,course_type,department_id,prerequisites,location,instructor,semester_offered,course_description,max_capacity,current_enrollment,is_active,created_at
1,CS101,Programming Fundamentals,4,core,1,,N'Building A,Room 101',Dr. Ahmed Ali,1,Introduction to programming concepts using Python,40,0,1,2025-11-08T22:54:48.2666667
2,CS102,Data Structures,4,core,1,CS101,N'Building A,Room 102',Dr. Mohamed Samy,2,Fundamental data structures and algorithms,35,0,1,2025-11-08T22:54:48.2666667
3,CS103,Discrete Mathematics,4,core,1,,N'Building A,Room 103',Dr. Hassan Mohamed,1,Mathematical foundations for computer science,45,0,1,2025-11-08T22:54:48.2666667
4,CS104,Computer Organization,4,core,1,CS101,N'Building A,Room 104',Dr. Rania Ahmed,3,Computer architecture and organization,40,0,1,2025-11-08T22:54:48.2666667
5,CS105,Algorithms Analysis,4,core,1,CS102,N'Building A,Room 105',Dr. Omar Khaled,4,Design and analysis of algorithms,35,0,1,2025-11-08T22:54:48.2666667
6,CS106,Operating Systems,4,core,1,CS104,N'Building A,Room 106',Dr. Nourhan Said,5,Operating system concepts and design,40,0,1,2025-11-08T22:54:48.2666667
7,CS107,Database Systems,4,core,1,CS102,N'Building A,Room 107',Dr. Yara Mahmoud,3,Database design and SQL programming,40,0,1,2025-11-08T22:54:48.2666667
8,CS108,Computer Networks,4,core,1,CS104,N'Building A,Room 108',Dr. Karim Hassan,4,Network protocols and architectures,35,0,1,2025-11-08T22:54:48.2666667
9,CS109,Software Engineering,4,core,1,CS102,N'Building A,Room 109',Dr. Lamia Farouk,5,Software development methodologies,40,0,1,2025-11-08T22:54:48.2666667
10,CS110,Web Development,4,core,1,CS101,N'Building A,Room 110',Dr. Amr Salah,3,Front-end and back-end web development,45,0,1,2025-11-08T22:54:48.2666667
11,CS201,Artificial Intelligence,4,elective,1,CS105,N'Building B,Room 201',Dr. Hani Mostafa,6,AI concepts and machine learning basics,30,0,1,2025-11-08T22:54:48.2666667
12,CS202,Machine Learning,4,elective,1,CS105,N'Building B,Room 202',Dr. Sherif Omar,6,Machine learning algorithms and applications,30,0,1,2025-11-08T22:54:48.2666667
13,CS203,Data Mining,3,elective,1,CS107,N'Building B,Room 203',Dr. Dina Wael,7,Data mining techniques and tools,25,0,1,2025-11-08T22:54:48.2666667
14,CS204,Computer Graphics,3,elective,1,CS102,N'Building B,Room 204',Dr. Tarek Mohamed,7,2D and 3D computer graphics,30,0,1,2025-11-08T22:54:48.2666667
15,CS205,Parallel Computing,4,elective,1,CS106,N'Building B,Room 205',Dr. Nadia Ashraf,8,Parallel programming and architectures,25,0,1,2025-11-08T22:54:48.2666667
