enrollment_id,student_id,course_id,enrollment_date,enrollment_status,semester,year,final_grade,grade_points,attendance_rate,assignment_avg,exam_score,project_score,participation_score,total_score,feedback,created_at
1,242,70,2025-10-31,registered,Fall,2025,,,91.92,90.55,72.46,89.34,88.87,83.10,N'Good work,showing consistent effort.',2025-12-05T23:12:44.4333333
2,274,83,2025-11-14,dropped,Fall,2025,,,94.45,76.04,90.93,73.72,85.72,84.46,N'Good work,showing consistent effort.',2025-12-05T23:12:44.4433333
3,34,5,2025-11-15,registered,Fall,2025,,,75.36,88.53,74.23,76.24,91.31,79.93,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.4466667
4,156,37,2025-12-05,registered,Fall,2025,,,82.28,65.79,70.48,91.18,90.68,75.61,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.4466667
5,160,45,2025-11-03,registered,Fall,2025,,,92.86,71.95,90.28,81.91,80.22,83.69,N'Good work,showing consistent effort.',2025-12-05T23:12:44.4500000
6,261,78,2025-10-11,registered,Fall,2025,,,93.62,89.30,58.56,81.36,93.13,76.63,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.4500000
7,291,73,2025-10-09,registered,Fall,2025,,,75.70,84.48,70.55,91.34,97.26,80.34,N'Good work,showing consistent effort.',2025-12-05T23:12:44.4500000
8,278,72,2025-11-20,registered,Fall,2025,,,76.42,96.18,69.14,75.15,87.20,79.34,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.4533333
9,36,10,2025-11-01,registered,Fall,2025,,,95.73,65.82,78.34,83.87,97.07,79.65,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.4533333
10,258,78,2025-10-19,registered,Fall,2025,,,84.08,66.88,94.18,90.75,90.32,85.44,N'Good work,showing consistent effort.',2025-12-05T23:12:44.4566667
11,128,50,2025-10-22,dropped,Fall,2025,,,98.03,85.14,71.59,72.62,99.65,80.58,N'Good work,showing consistent effort.',2025-12-05T23:12:44.4600000
12,125,42,2025-10-28,registered,Fall,2025,,,97.32,95.25,64.00,76.01,85.18,79.06,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.4600000
13,182,51,2025-10-31,registered,Fall,2025,,,95.23,71.16,74.55,86.53,84.14,78.53,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.4600000
14,110,24,2025-11-10,registered,Fall,2025,,,78.97,85.51,63.37,84.58,82.18,75.53,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.4633333
15,252,89,2025-11-04,registered,Fall,2025,,,94.88,68.59,86.39,76.71,96.97,82.40,N'Good work,showing consistent effort.',2025-12-05T23:12:44.4666667
16,137,32,2025-11-18,registered,Fall,2025,,,88.89,88.34,62.40,91.52,80.85,77.75,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.4666667
17,72,15,2025-11-15,registered,Fall,2025,,,89.46,67.00,72.42,76.22,81.95,74.29,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.4700000
18,182,47,2025-10-28,registered,Fall,2025,,,83.03,95.94,55.49,86.91,95.54,77.07,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.4700000
19,261,84,2025-11-11,registered,Fall,2025,,,85.40,78.72,83.61,83.94,89.78,83.23,N'Good work,showing consistent effort.',2025-12-05T23:12:44.4733333
20,169,31,2025-11-28,withdrawn,Fall,2025,,,97.63,68.15,64.24,99.53,94.04,76.83,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.4733333
21,35,14,2025-11-29,registered,Fall,2025,,,95.07,71.48,83.29,76.16,96.66,81.78,N'Good work,showing consistent effort.',2025-12-05T23:12:44.4766667
22,296,83,2025-10-27,registered,Fall,2025,,,76.69,74.70,89.10,97.69,88.00,85.44,N'Good work,showing consistent effort.',2025-12-05T23:12:44.4800000
23,257,63,2025-10-22,registered,Fall,2025,,,92.42,71.79,91.27,97.53,83.68,86.70,N'Good work,showing consistent effort.',2025-12-05T23:12:44.4800000
24,279,64,2025-10-22,registered,Fall,2025,,,84.48,69.73,92.53,83.26,83.28,83.71,N'Good work,showing consistent effort.',2025-12-05T23:12:44.4833333
25,116,16,2025-10-26,registered,Fall,2025,,,96.33,73.33,73.43,76.57,84.20,77.24,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.4833333
26,232,82,2025-11-29,withdrawn,Fall,2025,,,86.49,75.60,99.93,97.17,93.53,91.45,N'Excellent performance,keep it up!',2025-12-05T23:12:44.4866667
27,32,3,2025-10-16,registered,Fall,2025,,,91.28,89.90,93.29,88.65,95.30,91.75,N'Excellent performance,keep it up!',2025-12-05T23:12:44.5666667
28,164,54,2025-11-29,registered,Fall,2025,,,81.69,89.07,80.15,91.21,97.08,85.89,N'Good work,showing consistent effort.',2025-12-05T23:12:44.5666667
29,68,1,2025-10-31,registered,Fall,2025,,,96.65,99.86,84.38,87.72,90.91,90.63,N'Excellent performance,keep it up!',2025-12-05T23:12:44.5700000
30,55,16,2025-10-09,registered,Fall,2025,,,82.87,73.55,69.02,72.36,96.30,74.77,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.5733333
31,224,76,2025-11-15,withdrawn,Fall,2025,,,80.37,68.03,97.13,94.74,93.03,87.41,N'Good work,showing consistent effort.',2025-12-05T23:12:44.5766667
32,80,2,2025-11-07,registered,Fall,2025,,,94.89,90.19,82.40,86.43,90.12,86.97,N'Good work,showing consistent effort.',2025-12-05T23:12:44.5800000
33,52,7,2025-12-03,registered,Fall,2025,,,78.71,68.45,73.63,70.84,80.15,73.08,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.5800000
34,34,2,2025-11-14,registered,Fall,2025,,,92.40,98.80,79.90,91.66,92.59,88.91,N'Good work,showing consistent effort.',2025-12-05T23:12:44.5833333
35,247,87,2025-10-20,registered,Fall,2025,,,75.32,74.38,94.19,99.04,94.48,88.11,N'Good work,showing consistent effort.',2025-12-05T23:12:44.5833333
36,246,86,2025-10-23,registered,Fall,2025,,,76.32,71.68,94.59,91.42,84.35,85.54,N'Good work,showing consistent effort.',2025-12-05T23:12:44.5866667
37,107,8,2025-10-29,registered,Fall,2025,,,98.55,79.11,55.43,96.27,81.52,74.40,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.5900000
38,135,55,2025-12-04,registered,Fall,2025,,,85.32,73.12,61.98,97.90,86.82,74.97,N'Satisfactory,room for improvement.',2025-12-05T23:12:44.5900000
39,30,14,2025-10-18,registered,Fall,2025,,,81.20,82.98,88.85,97.43,80.91,87.11,N'Good work,showing consistent effort.',2025-12-05T23:12:44.5933333
40,228,66,2025-11-03,registered,Fall,2025,,,88.43,82.56,72.71,83.31,94.88,80.55,N'Good work,showing consistent effort.',2025-12-05T23:12:44.5966667
41,109,20,2025-10-28,registered,Fall,2025,,,93.49,91.25,85.17,84.37,83.46,87.23,N'Good work,showing consistent effort.',2025-12-05T23:12:44.5966667
42,228,70,2025-11-17,registered,Fall,2025,,,87.87,91.30,93.80,80.49,92.60,90.47,N'Excellent performance,keep it up!',2025-12-05T23:12:44.6000000
